"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.294682886723254","0.273892774307692","0.309437864417741","0.313901342551121","0.101522842639594","0.117408906882591","0.12035010940919","0.0972827910097286","0.0353437094682231","0.0578503524696731","0.0704047359115412","0.0677734430617652","0.0133917834575945","0.0646656328424114","0.0347389864417031","0.0419537318079731","0.194033855360905","0.237767080224185","0.354385742317814","0.202643980255645","0.201195823259423","0.18584886898146","2.13159668485519","2.10072203608661","1.81038776710137","1.76577540713876","1.81541773209796","1.12692857436316","1.02355149637244","1.42150522623697","1.24063180398602","1.15068456820342","1.03999725386053","","",
"Africa Eastern and Southern","AFE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.500621760221697","0.459558351932787","0.577852590586875","0.641114616190905","0.742873387676265","0.993492980277014","1.06950771477681","1.05227896949785","1.03602414085972","0.810695241715183","0.950537792099526","0.894057141532584","0.989579808066202","0.770652978450324","0.711601756805735","0.913791910690893","0.821011007386313","0.909916696011915","0.852492308812784","0.72025689393746","0.967969052184525","1.09589302674126","1.14966320023038","1.09347223990783","0.891904316380941","1.04777168152755","0.924912130053477","0.954128497530756","0.746946339916146","0.77401297527428","0.810409947782519","0.810840470330185","0.92714445606078","0.929747533356505","1.00407280602711","1.00400364111435","0.993384272881513","1.07241361763421","1.21822792482728","1.11027913734042","1.04015338031305","1.21094373506093","1.26570185572567","1.28884139975004","1.36714300307434","1.5245439573265","1.61808903490211","2.05159564585571","",
"Afghanistan","AFG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.885723661387124","1.13316233567863","2.38515836845792","1.0059846865258","1.10218743514509","1.72321110990224","1.23611373619901","1.82199581344675","3.46484306572226","4.38709328246437","4.45098621835989","4.40742759471936","3.95329685319887","","","","","",
"Africa Western and Central","AFW","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","0.427408113661359","0.476667494071517","0.426208396336947","0.474012177994295","0.225463632896251","0.19989138848703","0.267725279465642","0.281833337184451","0.360484761791122","0.511143494256744","0.522780457012983","0.574914699196045","0.615967971356459","0.584178797809632","0.582343865397496","0.702847434355704","1.17593731097908","0.896755739314003","0.505913142313658","0.418265151863104","0.469361538374363","0.405021502251972","1.5563830454078","1.61667626439666","1.45553074379544","1.32905241143594","1.321024492166","1.67109186364095","5.66162721703352","5.29491769810341","4.78477493921982","4.26976603507833","4.55057828267741","4.19306040420062","4.29015147876555","3.96434318294735","3.52967077635087","3.39762051230727","4.20484507579547","4.34769284191473","4.93627172283479","4.8280538372221","3.56308415066504","3.17970463127904","3.12387758488691","3.26811985122237","3.82339358569283","5.50477353459326","",
"Angola","AGO","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0683193199703648","","","","","","","","","","","","0.0830890173432929","0.000198712626449306","0.0188096456130848","0.000163081190046776","0.028103389897302","0.0246144391413154","0.020183217613021","0.0108390667785108","0.00656252281605501","0.00165619816312265","0.0017449075976164","0.00424351721639647","0.0137630678180384","0.0161350488682435","0.0109218272204429","0.0113790077401704","0.0495140569771656","0.0423340594644701",
"Albania","ALB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2759615337456","28.0094210219427","16.3268486067455","14.7086523433297","17.0320712619599","13.0925773880382","19.3873379752822","12.3997336340514","16.6770344143812","17.2281095910701","16.2473863481927","15.3187296457995","15.670684644424","15.6201731609198","14.8567088699863","13.2052550548158","14.0708275191369","13.9247890307559","13.1267801276088","11.963216583924","11.5932923255515","10.0167971204892","10.6872215602712","11.2540904144104","10.8936962925845","9.89437224407924","9.48151283244669","9.45012315653745","9.61841800746962","9.52948598024897","9.17717025231113","8.66778018906039","8.41217848772137","8.39082915664589",
"Andorra","AND","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.669148879159233","1.64013507046368","1.59419659690427","1.31863016199147","1.27540274077597","1.29408135877458","",
"Arab World","ARB","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.57124078593406","2.38061735317572","2.62861681980869","2.38722855990175","2.47301079536614","2.32840259780343","1.89788973847529","2.04585311789014","2.02391623405349","2.22285227346364","2.35778282765356","2.37441685014183","2.51303144646713","2.27573079544691","2.32127620683906","2.70653240748981","2.61699635172054","2.0765121971854","1.6175575106077","1.60814353365951","2.59650263498515",
"United Arab Emirates","ARE","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.359500398100958","0.325377481632911","",
"Argentina","ARG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","0.0291972596105791","0.0606477798448147","0.0727632539285346","0.053382925314063","0.0332117597743446","0.026928486758215","0.0273702995664795","0.0306292987747408","0.0302250711965358","0.0312468737901249","0.0238631449285952","0.0346601768004971","0.0161581685623613","0.0100780109769259","0.00673138932607845","0.0243725533357484","0.0242386581455873","0.0246481295421978","0.0238839095020297","0.0224340040770473","0.0229136648232595","0.0226789361004222","0.030380900529948","0.0705628184933387","0.211442420500352","0.214300874545602","0.189350126740114","0.217417890692876","0.232474118424109","0.210933764847302","0.195029381449765","0.188764794272549","0.152091367663287","0.131541807279184","0.105778682207302","0.0969166746867397","0.0960152008279333","0.0831331023452092","0.0702343224152265","0.0745674778829442","0.0995468179872308","0.125380809015097","0.168011924038753","0.185543785281081","0.166635693990481","0.15535734613336","0.163599877828893","0.134160451487543",
"Armenia","ARM","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.85930346459512","9.62636126157822","13.9669079129736","8.80000229815208","9.8972579995383","9.52937131880005","9.87694921780921","11.1049155369612","11.9648272324739","22.0185694314846","18.6763974290117","18.3128176140903","17.86140864212","16.3270491787545","16.6491640509821","18.0268391620613","17.7342226487981","18.0330178717679","19.7113773941979","17.9044398383763","14.1327414277054","13.1074628255062","13.3477446383999","11.9427034082853","11.2189210772298","10.4970552541265","11.2171827452107","10.8688335174113","6.39621098617553","4.92468775781423","4.9001453057215",
"American Samoa","ASM","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","3.75893065407881","3.38586724485874","2.9988206508098","2.89917581901918","2.61810088709053","0.604387132245485","0.516976304621049","2.05592921075893","1.91145444617591","0.541079982793656","1.31647833864142","1.2985768606211","2.37475556055767","2.20149204111756","1.92484924220314","2.69735315338884","1.58582386539374","1.7268470664526","1.71500709107246","2.53677897081613","2.2399825583886","2.04064526690987","1.90796491479587","2.0062737661472","2.22777009731304","2.27570759512823","2.18690263078164","2.26082670783716","2.31007836736381","2.17354673183728","1.79280405783904","1.56497100082879","1.97217459978748","2.13590441518768","2.56585012934811","2.82536157975282","1.87445888784076","1.69806053306311","1.21148760189024","0.942474018434592",
"Australia","AUS","Personal remittances, received (% of GDP)","BX.TRF.PWKR.DT.GD.ZS","","","","","","","","","","","0.435606082224011","0.388762261841219","0.43930880762289","0.438894403125952","0.346584607786914","0.29414145456113","0.290153954863081","0.295503106827565","0.350278107456047","0.367002394599918","0.420499621027781","0.418122083487636","0.396834217695239","0.507128396713632","0.493483256403826","0.557902757429279","0.576523453077895","0.735935844889594","0.797046272577153","0.80004887626617","0.759870021720068","0.761272832540867","0.590856575984785","0.352520018099126","0.395016184673305","0.11902859209321","0.128841471826023","0.123474851652745","0.125283081106145","0.136240665421581","0.124329962416334","0.127969397578555","0.117477070111245","0.13907113149848","0.133962220621157","0.13495870556951","0.135364833985169","0.156647908424764","0.144175698328765","0.143239303274217","0.161767025831778","0.174582505193386","0.157183637033589","0.155400601168408","0.157977419123525","0.160277271544431","0.169764353509887","0.147142444025113","0.124289588261104","0.119985461975631","0.0833273223696793","0.0538873539403801","0.0713213074162778","0.0928559687058244","0.100779106840934","0.111354958153523",
